Season,Name,Position,Draft.Eligible,Team,Birth Date,GP,EVG,EVA1,EVA2,EVPTS,Team.EVPTS,OI.EVGF,OI.EVGA,EVGF.PERC,TEAM.EVGF.PERC,EVGF.PERC.REL,PRIMARY.EVPTS,TEAM.PRIMARY.EVPTS,PERC.TEAM.EVPrPTS,IPP.EV,IPPP.EV
2017-18 | Regular Season,"Truchon-Viel, Jeffrey",F,N,"Acadie-Bathurst, Titan",1997-01-28,58,24,11,6,41,480,55,32,0.63,0.53,0.1,35,345,0.1,0.75,0.64
2017-18 | Regular Season,"Henley, David",D,N,"Val-d'Or, Foreurs",1997-03-13,54,1,2,3,6,310,44,63,0.41,0.43,-0.02,3,225,0.01,0.14,0.07
2017-18 | Regular Season,"Galipeau, Olivier",D,N,"Acadie-Bathurst, Titan",1997-05-22,67,14,13,10,37,347,80,40,0.67,0.51,0.16,27,255,0.11,0.46,0.34
2017-18 | Regular Season,"Fournier, Jordan Ty",F,N,"Cape Breton, Screaming Eagles",1997-04-04,67,12,7,6,25,379,35,30,0.54,0.46,0.08,19,276,0.07,0.71,0.54
2017-18 | Regular Season,"Nadeau, Mathieu",F,N,"Rimouski, Océanic",1997-01-03,59,11,17,9,37,310,50,43,0.54,0.43,0.11,28,225,0.12,0.74,0.56
2017-18 | Regular Season,"Maher, Jordan",F,N,"Acadie-Bathurst, Titan",1998-03-11,63,12,14,12,38,480,62,28,0.69,0.53,0.16,26,345,0.08,0.61,0.42
2017-18 | Regular Season,"Francis, Elijah",D,N,"Acadie-Bathurst, Titan",1998-03-05,54,1,4,2,7,480,25,21,0.54,0.53,0.01,5,345,0.01,0.28,0.2
2017-18 | Regular Season,"Boivin, Félix",D,N,"Victoriaville, Tigres",1998-03-11,68,5,5,9,19,492,57,42,0.58,0.54,0.04,10,352,0.03,0.33,0.18
2017-18 | Regular Season,"Huntington, Jimmy",F,N,"Victoriaville, Tigres",1998-11-18,68,12,14,9,35,492,54,49,0.52,0.54,-0.02,26,352,0.07,0.65,0.48
2017-18 | Regular Season,"Beauchamp, Anthony",F,N,"Gatineau, Olympiques",1998-10-23,65,8,6,7,21,324,33,30,0.52,0.47,0.05,14,239,0.06,0.64,0.42
2017-18 | Regular Season,"Chevrier, Simon",F,N,"Baie-Comeau, Drakkar",1997-05-19,58,1,6,10,17,389,34,36,0.49,0.48,0.01,7,282,0.02,0.5,0.21
2017-18 | Regular Season,"Katerinakis, Alexander",F,N,"Blainville-Boisbriand, Armada",1998-04-25,51,12,13,7,32,447,41,20,0.67,0.53,0.14,25,328,0.08,0.78,0.61
2017-18 | Regular Season,"Hylland, Tyler",F,N,"Cape Breton, Screaming Eagles",1998-04-21,57,8,6,4,18,379,30,33,0.48,0.46,0.02,14,276,0.05,0.6,0.47
2017-18 | Regular Season,"Adams-Moisan, Morgan",F,N,"Drummondville, Voltigeurs",1997-02-06,68,18,15,5,38,511,52,31,0.63,0.54,0.09,33,372,0.09,0.73,0.63
2017-18 | Regular Season,"Castonguay, Daven",D,N,"Drummondville, Voltigeurs",1998-05-21,57,1,5,3,9,511,51,34,0.6,0.54,0.06,6,372,0.02,0.18,0.12
2017-18 | Regular Season,"King, Sam",F,N,"Charlottetown, Islanders",1998-05-11,68,9,7,5,21,365,31,41,0.43,0.51,-0.08,16,272,0.06,0.68,0.52
2017-18 | Regular Season,"Corbeil, Pascal",D,N,"Blainville-Boisbriand, Armada",1998-01-21,46,9,7,6,22,447,41,26,0.61,0.53,0.08,16,328,0.05,0.54,0.39
2017-18 | Regular Season,"Beaudin, Jérémie",D,N,"Victoriaville, Tigres",1998-05-14,66,2,14,6,22,492,61,49,0.55,0.54,0.01,16,352,0.05,0.36,0.26
2017-18 | Regular Season,"L'Italien, Samuel",F,N,"Acadie-Bathurst, Titan",1998-04-13,68,8,10,12,30,480,51,35,0.59,0.53,0.06,18,345,0.05,0.59,0.35
2017-18 | Regular Season,"Martineau, Phélix",F,N,"Cape Breton, Screaming Eagles",1997-06-03,68,21,10,6,37,379,52,54,0.49,0.46,0.03,31,276,0.11,0.71,0.6
2017-18 | Regular Season,"Balmas, Mitchell",F,N,"Acadie-Bathurst, Titan",1998-03-19,68,24,10,5,39,324,66,44,0.6,0.47,0.13,34,239,0.14,0.59,0.52
2017-18 | Regular Season,"Guilbault, Samuel",F,N,"Shawinigan, Cataractes",1998-04-09,12,3,0,1,4,343,4,6,0.4,0.47,-0.07,3,250,0.01,1,0.75
2017-18 | Regular Season,"Smith, Andrew",D,N,"Victoriaville, Tigres",1998-03-18,62,0,4,3,7,492,32,37,0.46,0.54,-0.08,4,352,0.01,0.22,0.12
2017-18 | Regular Season,"Getson, Keith",F,N,"Charlottetown, Islanders",1998-03-29,68,9,9,7,25,365,41,37,0.53,0.51,0.02,18,272,0.07,0.61,0.44
2017-18 | Regular Season,"Wojcik, Anthony",F,N,"Québec, Remparts",1998-05-29,9,1,0,0,1,370,1,2,0.33,0.53,-0.2,1,274,0,1,1
2017-18 | Regular Season,"Bélanger, Jean-Simon",F,N,"Baie-Comeau, Drakkar",1998-03-03,27,3,3,1,7,389,10,10,0.5,0.48,0.02,6,282,0.02,0.7,0.6
2017-18 | Regular Season,"Gagné, Benjamin",D,N,"Québec, Remparts",1998-10-22,66,8,8,9,25,370,62,57,0.52,0.53,-0.01,16,274,0.06,0.4,0.26
2017-18 | Regular Season,"Sévigny, Mathieu",F,N,"Victoriaville, Tigres",1998-03-12,41,7,8,5,20,492,28,21,0.57,0.54,0.03,15,352,0.04,0.71,0.54
2017-18 | Regular Season,"Laberge, Pascal",F,N,"Québec, Remparts",1998-04-09,64,11,14,8,33,492,49,37,0.57,0.54,0.03,25,352,0.07,0.67,0.51
2017-18 | Regular Season,"Landreville, Alexandre",F,N,"Gatineau, Olympiques",1997-04-24,68,8,0,9,17,324,31,36,0.46,0.47,-0.01,8,239,0.03,0.55,0.26
2017-18 | Regular Season,"Crossley, Brett",F,N,"Halifax, Mooseheads",1998-01-03,66,4,3,1,8,504,16,17,0.48,0.51,-0.03,7,370,0.02,0.5,0.44
2017-18 | Regular Season,"Dachyshyn, Barrett",F,N,"Halifax, Mooseheads",1998-10-05,52,1,2,0,3,504,9,15,0.38,0.51,-0.13,3,370,0.01,0.33,0.33
2017-18 | Regular Season,"Nauss, Morgan",D,N,"Chicoutimi, Saguenéens",1998-04-20,60,3,7,9,19,347,44,56,0.44,0.51,-0.07,10,255,0.04,0.43,0.23
2017-18 | Regular Season,"Corson, Noah",F,N,"Baie-Comeau, Drakkar",1998-03-17,10,2,1,1,4,389,4,6,0.4,0.48,-0.08,3,282,0.01,1,0.75
2017-18 | Regular Season,"Murphy, Liam",F,N,"Acadie-Bathurst, Titan",1998-01-20,65,14,10,3,27,480,46,38,0.55,0.53,0.02,24,345,0.07,0.59,0.52
2017-18 | Regular Season,"Tesink, Marcus",D,N,"Saint John, Sea Dogs",1998-08-05,15,0,1,1,2,316,7,11,0.39,0.42,-0.03,1,235,0,0.29,0.14
2017-18 | Regular Season,"Duquette, Marc-Olivier",D,N,"Drummondville, Voltigeurs",1998-03-26,68,2,8,9,19,511,51,49,0.51,0.54,-0.03,10,372,0.03,0.37,0.2
2017-18 | Regular Season,"Sutton, Jesse",F,N,"Québec, Remparts",1998-03-28,68,15,9,4,28,370,39,41,0.49,0.53,-0.04,24,274,0.09,0.72,0.62
2017-18 | Regular Season,"Garneau, Olivier",F,N,"Québec, Remparts",1998-07-21,67,11,9,7,27,370,46,42,0.52,0.53,-0.01,20,274,0.07,0.59,0.43
2017-18 | Regular Season,"Demers, Pierre-Olivier",D,N,"Victoriaville, Tigres",1998-03-21,11,0,0,0,0,492,0,2,0,0.54,-0.54,0,352,0,,
2017-18 | Regular Season,"Fortin, Louis-Philip",D,N,"Acadie-Bathurst, Titan",1998-01-24,13,0,0,0,0,480,2,6,0.25,0.53,-0.28,0,345,0,0,0
2017-18 | Regular Season,"MacDougall, Ross",D,N,"Cape Breton, Screaming Eagles",1997-03-06,42,2,8,3,13,379,38,39,0.49,0.46,0.03,10,276,0.04,0.34,0.26
2017-18 | Regular Season,"Cormier, Dominic",D,N,"Rimouski, Océanic",1998-01-02,66,8,10,14,32,492,78,40,0.66,0.54,0.12,18,352,0.05,0.41,0.23
2017-18 | Regular Season,"Neveu, Jacob",D,N,"Rouyn-Noranda, Huskies",1998-01-12,67,5,5,2,12,366,45,42,0.52,0.51,0.01,10,268,0.04,0.27,0.22
2017-18 | Regular Season,"Lauzon, Zachary",D,N,"Rouyn-Noranda, Huskies",1998-10-10,25,0,0,2,2,366,19,15,0.56,0.51,0.05,0,268,0,0.11,0
2017-18 | Regular Season,"Abbandonato, Peter",F,N,"Rouyn-Noranda, Huskies",1998-03-25,68,15,22,4,41,366,55,44,0.56,0.51,0.05,37,268,0.14,0.75,0.67
2017-18 | Regular Season,"Boucher, Mathieu",F,N,"Rouyn-Noranda, Huskies",1997-04-19,66,17,10,10,37,366,50,46,0.52,0.51,0.01,27,268,0.1,0.74,0.54
2017-18 | Regular Season,"Green, Luke",D,N,"Sherbrooke, Phoenix",1998-01-12,14,4,0,5,9,411,15,5,0.75,0.5,0.25,4,302,0.01,0.6,0.27
2017-18 | Regular Season,"Tessier, Julien",F,N,"Moncton, Wildcats",1998-04-01,67,14,17,7,38,390,49,72,0.4,0.48,-0.08,31,281,0.11,0.78,0.63
2017-18 | Regular Season,"Green, Matt",F,N,"Saint John, Sea Dogs",1998-01-12,34,3,1,3,7,316,9,24,0.27,0.42,-0.15,4,235,0.02,0.78,0.44
2017-18 | Regular Season,"Smith, Declan",F,N,"Cape Breton, Screaming Eagles",1998-05-07,65,9,12,5,26,379,31,41,0.43,0.46,-0.03,21,276,0.08,0.84,0.68
2017-18 | Regular Season,"Ward, Kyle",F,N,"Rouyn-Noranda, Huskies",1997-12-29,8,2,0,0,2,366,4,4,0.5,0.51,-0.01,2,268,0.01,0.5,0.5
2017-18 | Regular Season,"Girard, Samuel",D,N,"Shawinigan, Cataractes",1998-05-12,0,0,0,0,0,343,0,0,,0.47,,0,250,0,,
2017-18 | Regular Season,"Sylvestre, Gabriel",D,N,"Moncton, Wildcats",1998-01-22,60,7,5,4,16,390,50,61,0.45,0.48,-0.03,12,281,0.04,0.32,0.24
2017-18 | Regular Season,"Asselin, Samuel",F,N,"Acadie-Bathurst, Titan",1998-07-01,48,8,15,7,30,343,42,43,0.49,0.47,0.02,23,250,0.09,0.71,0.55
2017-18 | Regular Season,"Paré, Justin",F,N,"Victoriaville, Tigres",1998-01-31,31,4,1,7,12,492,17,11,0.61,0.54,0.07,5,352,0.01,0.71,0.29
2017-18 | Regular Season,"Grégoire, Thomas",D,N,"Sherbrooke, Phoenix",1998-07-15,67,6,20,10,36,411,64,54,0.54,0.5,0.04,26,302,0.09,0.56,0.41
2017-18 | Regular Season,"Poulin, Nicolas",F,N,"Sherbrooke, Phoenix",1997-07-24,64,23,15,10,48,411,68,48,0.59,0.5,0.09,38,302,0.13,0.71,0.56
2017-18 | Regular Season,"Gilbert, Kevin",F,N,"Sherbrooke, Phoenix",1998-03-24,57,6,10,1,17,411,26,32,0.45,0.5,-0.05,16,302,0.05,0.65,0.62
2017-18 | Regular Season,"Bilodeau, Gabriel",D,N,"Gatineau, Olympiques",1998-06-04,66,3,4,4,11,324,40,37,0.52,0.47,0.05,7,239,0.03,0.28,0.18
2017-18 | Regular Season,"Higgins, Tyler",D,N,"Gatineau, Olympiques",1998-08-02,51,0,3,6,9,324,31,33,0.48,0.47,0.01,3,239,0.01,0.29,0.1
2017-18 | Regular Season,"Desjardins, Olivier",D,N,"Charlottetown, Islanders",1997-05-31,66,4,2,2,8,390,34,43,0.44,0.48,-0.04,6,281,0.02,0.24,0.18
2017-18 | Regular Season,"Dion, Yan",F,N,"Val-d'Or, Foreurs",1998-05-05,64,8,10,3,21,310,28,54,0.34,0.43,-0.09,18,225,0.08,0.75,0.64
2017-18 | Regular Season,"Lauzon, Félix",F,N,"Victoriaville, Tigres",1998-04-30,38,6,8,6,20,492,28,22,0.56,0.54,0.02,14,352,0.04,0.71,0.5
2017-18 | Regular Season,"Breton, Alex",D,N,"Gatineau, Olympiques",1997-07-05,59,1,10,2,13,324,60,40,0.6,0.47,0.13,11,239,0.05,0.22,0.18
2017-18 | Regular Season,"Bertrand, Yannik",F,N,"Rimouski, Océanic",1997-11-12,24,4,0,3,7,434,11,9,0.55,0.53,0.02,4,312,0.01,0.64,0.36
2017-18 | Regular Season,"Marsh, Adam",F,N,"Charlottetown, Islanders",1997-08-22,19,3,4,2,9,365,13,9,0.59,0.51,0.08,7,272,0.03,0.69,0.54
2017-18 | Regular Season,"Theede, Dawson",F,N,"Acadie-Bathurst, Titan",1997-04-15,49,13,11,2,26,324,33,34,0.49,0.47,0.02,24,239,0.1,0.79,0.73
2017-18 | Regular Season,"Morand, Antoine",F,N,"Acadie-Bathurst, Titan",1999-02-18,66,17,19,10,46,480,61,44,0.58,0.53,0.05,36,345,0.1,0.75,0.59
2017-18 | Regular Season,"Gravel, Jérôme",D,N,"Victoriaville, Tigres",1999-08-27,64,6,8,6,20,492,52,36,0.59,0.54,0.05,14,352,0.04,0.38,0.27
2017-18 | Regular Season,"Ryczek, Jake",D,N,"Halifax, Mooseheads",1998-03-19,33,5,9,7,21,504,44,29,0.6,0.51,0.09,14,370,0.04,0.48,0.32
2017-18 | Regular Season,"LeCouffe, Marc-André",F,N,"Acadie-Bathurst, Titan",1999-06-15,40,2,2,3,7,480,10,10,0.5,0.53,-0.03,4,345,0.01,0.7,0.4
2017-18 | Regular Season,"Aucoin, Yan",D,N,"Baie-Comeau, Drakkar",1999-08-01,62,3,4,5,12,389,49,57,0.46,0.48,-0.02,7,282,0.02,0.24,0.14
2017-18 | Regular Season,"Capannelli, Adam",F,N,"Moncton, Wildcats",1999-05-17,42,2,5,7,14,390,19,35,0.35,0.48,-0.13,7,281,0.02,0.74,0.37
2017-18 | Regular Season,"Benoit, Christopher",F,N,"Baie-Comeau, Drakkar",1999-05-31,68,6,4,4,14,389,20,45,0.31,0.48,-0.17,10,282,0.04,0.7,0.5
2017-18 | Regular Season,"Girard, Antoine",F,N,"Baie-Comeau, Drakkar",1998-09-22,50,4,5,5,14,389,22,32,0.41,0.48,-0.07,9,282,0.03,0.64,0.41
2017-18 | Regular Season,"Tardif, Louis Jr",D,N,"Baie-Comeau, Drakkar",1999-02-11,68,1,0,3,4,389,38,43,0.47,0.48,-0.01,1,282,0,0.11,0.03
2017-18 | Regular Season,"Martel, Jordan",F,N,"Baie-Comeau, Drakkar",1998-02-24,66,26,14,8,48,389,62,43,0.59,0.48,0.11,40,282,0.14,0.77,0.65
2017-18 | Regular Season,"Gallo-Demetris, Isaiah",F,N,"Baie-Comeau, Drakkar",1999-03-09,50,6,6,2,14,389,19,24,0.44,0.48,-0.04,12,282,0.04,0.74,0.63
2017-18 | Regular Season,"Crête-Belzile, Antoine",D,N,"Blainville-Boisbriand, Armada",1999-08-19,51,2,2,3,7,447,45,22,0.67,0.53,0.14,4,328,0.01,0.16,0.09
2017-18 | Regular Season,"Teasdale, Joël",F,N,"Blainville-Boisbriand, Armada",1999-03-11,65,17,6,7,30,447,50,30,0.62,0.53,0.09,23,328,0.07,0.6,0.46
2017-18 | Regular Season,"Poulin, Anthony",F,N,"Blainville-Boisbriand, Armada",1999-08-26,40,6,4,3,13,447,28,15,0.65,0.53,0.12,10,328,0.03,0.46,0.36
2017-18 | Regular Season,"Boucher, Anthony",F,N,"Saint John, Sea Dogs",1998-06-25,68,11,4,7,22,316,37,62,0.37,0.42,-0.05,15,235,0.06,0.59,0.41
2017-18 | Regular Season,"Miller, Shaun",F,N,"Blainville-Boisbriand, Armada",1999-06-04,47,4,10,6,20,447,28,28,0.5,0.53,-0.03,14,328,0.04,0.71,0.5
2017-18 | Regular Season,"Ethier, Thomas",F,Y,"Blainville-Boisbriand, Armada",1999-10-12,65,6,8,8,22,447,44,27,0.62,0.53,0.09,14,328,0.04,0.5,0.32
2017-18 | Regular Season,"Kemp, Michael",D,N,"Blainville-Boisbriand, Armada",1998-03-03,46,7,4,0,11,447,35,31,0.53,0.53,0,11,328,0.03,0.31,0.31
2017-18 | Regular Season,"Anglehart, Rémy",F,N,"Blainville-Boisbriand, Armada",1999-06-19,58,13,7,5,25,447,36,22,0.62,0.53,0.09,20,328,0.06,0.69,0.56
2017-18 | Regular Season,"Hoyt, Peyton",F,N,"Cape Breton, Screaming Eagles",1999-02-18,52,15,4,1,20,379,26,22,0.54,0.46,0.08,19,276,0.07,0.77,0.73
2017-18 | Regular Season,"Roy, Sacha",D,N,"Cape Breton, Screaming Eagles",1999-04-05,55,2,2,4,8,379,29,43,0.4,0.46,-0.06,4,276,0.01,0.28,0.14
2017-18 | Regular Season,"Sansfaçon, Alexis",D,N,"Blainville-Boisbriand, Armada",1999-03-09,60,0,4,5,9,447,36,39,0.48,0.53,-0.05,4,328,0.01,0.25,0.11
2017-18 | Regular Season,"Batherson, Drake",F,N,"Blainville-Boisbriand, Armada",1998-04-27,51,13,20,8,41,447,55,42,0.57,0.53,0.04,33,328,0.1,0.75,0.6
2017-18 | Regular Season,"Boudrias, Shawn",F,N,"Gatineau, Olympiques",1999-09-14,60,15,10,6,31,324,43,36,0.54,0.47,0.07,25,239,0.1,0.72,0.58
2017-18 | Regular Season,"Joseph, Pierre-Olivier",D,N,"Charlottetown, Islanders",1999-07-01,63,8,9,7,24,365,51,53,0.49,0.51,-0.02,17,272,0.06,0.47,0.33
2017-18 | Regular Season,"Grouchy, Matthew",F,Y,"Charlottetown, Islanders",1999-11-19,63,11,6,3,20,365,34,31,0.52,0.51,0.01,17,272,0.06,0.59,0.5
2017-18 | Regular Season,"Groleau, Jérémy",D,Y,"Chicoutimi, Saguenéens",1999-10-25,63,4,6,3,13,347,42,48,0.47,0.51,-0.04,10,255,0.04,0.31,0.24
2017-18 | Regular Season,"MacIsaac, Keenan",D,N,"Acadie-Bathurst, Titan",1999-04-01,68,1,7,9,17,480,56,50,0.53,0.53,0,8,345,0.02,0.3,0.14
2017-18 | Regular Season,"Guay, Nicolas",F,N,"Drummondville, Voltigeurs",1999-06-18,68,19,17,2,38,511,51,50,0.5,0.54,-0.04,36,372,0.1,0.75,0.71
2017-18 | Regular Season,"Noël, David",D,N,"Val-d'Or, Foreurs",1999-04-10,68,8,7,11,26,310,51,94,0.35,0.43,-0.08,15,225,0.07,0.51,0.29
2017-18 | Regular Season,"Lavigne, Zachary",F,N,"Chicoutimi, Saguenéens",1998-11-10,44,10,4,6,20,347,32,25,0.56,0.51,0.05,14,255,0.05,0.62,0.44
2017-18 | Regular Season,"Desgroseilliers, Nicolas",F,N,"Drummondville, Voltigeurs",1998-05-26,22,3,1,0,4,511,10,12,0.45,0.54,-0.09,4,372,0.01,0.4,0.4
2017-18 | Regular Season,"Tremblay-Lapalme, Vincent",F,N,"Chicoutimi, Saguenéens",1999-03-15,64,4,10,4,18,347,29,37,0.44,0.51,-0.07,14,255,0.05,0.62,0.48
2017-18 | Regular Season,"Gagné, Marc-Antoine",F,N,"Chicoutimi, Saguenéens",1999-01-21,15,0,1,0,1,347,3,4,0.43,0.51,-0.08,1,255,0,0.33,0.33
2017-18 | Regular Season,"Gaboury-Potvin, Alexis",F,N,"Chicoutimi, Saguenéens",1999-03-10,28,2,1,2,5,347,7,9,0.44,0.51,-0.07,3,255,0.01,0.71,0.43
2017-18 | Regular Season,"Poirier, William",F,Y,"Saint John, Sea Dogs",1999-11-13,65,6,3,5,14,316,32,62,0.34,0.42,-0.08,9,235,0.04,0.44,0.28
2017-18 | Regular Season,"Beaudin, Nicolas",D,Y,"Drummondville, Voltigeurs",1999-10-07,68,6,9,18,33,511,80,55,0.59,0.54,0.05,15,372,0.04,0.41,0.19
2017-18 | Regular Season,"Gaumond, Samuel",F,N,"Rimouski, Océanic",1999-02-01,11,0,0,1,1,434,1,2,0.33,0.53,-0.2,0,312,0,1,0
2017-18 | Regular Season,"Côté, Jérémy",F,N,"Victoriaville, Tigres",1999-05-03,52,2,6,3,11,492,13,16,0.45,0.54,-0.09,8,352,0.02,0.85,0.62
2017-18 | Regular Season,"Gagnon, Anthony",F,N,"Gatineau, Olympiques",1999-02-22,67,7,5,5,17,324,33,33,0.5,0.47,0.03,12,239,0.05,0.52,0.36
2017-18 | Regular Season,"Joly, D'Artagnan",F,N,"Baie-Comeau, Drakkar",1999-04-07,55,14,23,6,43,389,53,43,0.55,0.48,0.07,37,282,0.13,0.81,0.7
2017-18 | Regular Season,"Durocher, Jeffrey",F,N,"Gatineau, Olympiques",1999-01-13,63,6,4,9,19,324,29,34,0.46,0.47,-0.01,10,239,0.04,0.66,0.34
2017-18 | Regular Season,"Paradis, Joakim",D,N,"Baie-Comeau, Drakkar",1999-07-27,43,3,1,5,9,347,22,24,0.48,0.51,-0.03,4,255,0.02,0.41,0.18
2017-18 | Regular Season,"Basque, William",F,N,"Gatineau, Olympiques",1999-04-10,33,1,3,1,5,324,7,16,0.3,0.47,-0.17,4,239,0.02,0.71,0.57
2017-18 | Regular Season,"Milot-Ouellet, Vincent",F,N,"Chicoutimi, Saguenéens",1998-11-06,68,5,4,5,14,347,26,44,0.37,0.51,-0.14,9,255,0.04,0.54,0.35
2017-18 | Regular Season,"Lacombe, Pier-Olivier",D,N,"Gatineau, Olympiques",1999-07-24,65,6,4,5,15,324,25,26,0.49,0.47,0.02,10,239,0.04,0.6,0.4
2017-18 | Regular Season,"Durandeau, Arnaud",F,N,"Halifax, Mooseheads",1999-01-14,67,14,19,10,43,504,63,62,0.5,0.51,-0.01,33,370,0.09,0.68,0.52
2017-18 | Regular Season,"Flower, Walter",D,N,"Halifax, Mooseheads",1999-05-07,43,3,4,5,12,504,35,30,0.54,0.51,0.03,7,370,0.02,0.34,0.2
2017-18 | Regular Season,"Lepage, Jordan",D,N,"Halifax, Mooseheads",1999-05-07,47,2,7,1,10,434,38,26,0.59,0.53,0.06,9,312,0.03,0.26,0.24
2017-18 | Regular Season,"Charlebois, Mathieu",D,N,"Gatineau, Olympiques",1999-02-14,61,0,2,2,4,324,30,27,0.53,0.47,0.06,2,239,0.01,0.13,0.07
2017-18 | Regular Season,"Bishop, Joel",F,N,"Halifax, Mooseheads",1999-05-07,53,5,6,5,16,504,26,27,0.49,0.51,-0.02,11,370,0.03,0.62,0.42
2017-18 | Regular Season,"Higgins, Ben",F,N,"Halifax, Mooseheads",1999-02-04,65,3,5,2,10,504,19,16,0.54,0.51,0.03,8,370,0.02,0.53,0.42
